Year,Total Run,Escapement,Total Harvest,,All Sockeye Drift Gillnet Catch,Kenai R. proportion,Kenai R. Drift Gillnet Catch,Drift Gillnet proportion in EEZ,Kenai R. EEZ Catch,Kenai R. State waters Catch,,F_state,Fbar_state
1999.00,2984568.00,949276.00,2035292.00,,1413995.00,0.56,792403.00,0.43,340624.00,1694668.00,,0.57,
2000.00,1814779.00,696899.00,1117880.00,,656427.00,0.50,330380.00,0.55,181290.00,936590.00,,0.52,
2001.00,2189670.00,738229.00,1451441.00,,846275.00,0.54,455465.00,0.49,220959.00,1230482.00,,0.56,
2002.00,3466762.00,1126616.00,2340146.00,,1367251.00,0.62,848789.00,0.42,359658.00,1980488.00,,0.57,
2003.00,4439571.00,1402292.00,3037279.00,,1593638.00,0.58,925266.00,0.47,431228.00,2606051.00,,0.59,0.56
2004.00,5705141.00,1690547.00,4014594.00,,2529642.00,0.66,1655904.00,0.43,716343.00,3298251.00,,0.58,0.56
2005.00,6109173.00,1654003.00,4455170.00,,2520327.00,0.87,2182603.00,0.39,857243.00,3597927.00,,0.59,0.58
2006.00,2848597.00,1892090.00,956507.00,,784771.00,0.52,405727.00,0.26,106569.00,849938.00,,0.30,0.52
2007.00,3601777.00,964243.00,2637534.00,,1823481.00,0.65,1179792.00,0.66,774157.00,1863377.00,,0.52,0.51
2008.00,2082431.00,708805.00,1373626.00,,983303.00,0.47,464119.00,0.47,219509.00,1154117.00,,0.55,0.51
2009.00,2430414.00,848117.00,1582297.00,,968368.00,0.60,576179.00,0.57,327608.00,1254689.00,,0.52,0.50
2010.00,3596458.00,1038302.00,2558156.00,,1587657.00,0.71,1127236.00,0.60,672359.00,1885797.00,,0.52,0.48
2011.00,6263091.00,1280733.00,4982358.00,,3201035.00,0.78,2484003.00,0.46,1140273.00,3842085.00,,0.61,0.55
2012.00,4769681.00,1212921.00,3556760.00,,2924144.00,0.84,2456281.00,0.49,1213601.00,2343159.00,,0.49,0.54
2013.00,3628121.00,980208.00,2647913.00,,1662561.00,0.78,1293472.00,0.53,682571.00,1965342.00,,0.54,0.54
2014.00,3404034.00,1218342.00,2185692.00,,1501678.00,0.71,1058683.00,0.48,503605.00,1682087.00,,0.49,0.53
2015.00,3819016.00,1400047.00,2418969.00,,1012684.00,0.73,739259.00,0.32,238228.00,2180741.00,,0.57,0.54
2016.00,3711842.00,1119988.00,2591854.00,,1266746.00,0.89,1126137.00,0.36,399557.00,2192297.00,,0.59,0.54
2017.00,2595720.00,1071064.00,1524656.00,,880279.00,0.54,476231.00,0.42,201523.00,1323133.00,,0.51,0.54
2018.00,1566210.00,886761.00,679449.00,,400269.00,0.47,188527.00,0.52,97475.00,581974.00,,0.37,0.51
2019.00,3542442.00,1457031.00,2085411.00,,749101.00,0.75,564073.00,0.45,252320.00,1833091.00,,0.52,0.51
2020.00,2394018.00,1505940.00,888078.00,,283727.00,0.72,204748.00,0.25,50453.00,837625.00,,0.35,0.47
2021.00,3992341.00,2241825.00,1750516.00,,851901.00,0.77,657450.00,0.39,255593.00,1494923.00,,0.37,0.42